公司統編,公司名稱,縣市別代碼,公司地址,設立日期
80007791,學園有限公司,10019,臺中市西屯區工業區六路18之1號3樓,0920311
80038295,好頭鹿國際實業有限公司,10019,臺中市神岡區大社里大社街110巷7號,0920331
80043023,又一家養生藥膳館有限公司,10019,臺中市西屯區中工三路190之1號2樓,0920404
80044022,果鋒食品有限公司,10019,臺中市南屯區豐樂里文心南三路745號1樓,0920404
80044938,誠基建設有限公司,10019,臺中市西屯區安和路189巷10號4樓,0920407
80318900,麗田建設股份有限公司,10019,臺中市西屯區上安里上明一街10號1樓,0920423
80391459,雅朋室內裝修工程有限公司,10019,臺中市豐原區圓環北路2段263號,0920508
80393421,遠立宏有限公司,10019,臺中市北區進化北路129號1樓,0920512
80405051,康士濰國際股份有限公司,10019,臺中市北區健行里忠明路424號2樓之3,0920527
80426112,千甲聚頤資產開發有限公司,10019,臺中市豐原區翁明里水源路745號1樓　,0920624
80440894,哈密瓜旅館股份有限公司,10019,臺中市中區臺灣大道一段19號6樓、7樓、8樓、9樓、10樓、11樓、12樓,0920715
80445700,日盛牛肉股份有限公司,10019,臺中市北區新北里雙十路二段23號1及2樓、北區新北里錦新街3號1及2樓,0920722
80456380,新安開發事業股份有限公司,10019,臺中市太平區光華里大興路361號,0920805
80465938,維明開發股份有限公司,10019,臺中市西區精誠路19號地下一層之1,0920819
80472608,福爾摩薩國際事業有限公司,10019,臺中市太平區樹孝路115巷6之6號10樓,0920828
80478027,禮賢興業有限公司,10019,臺中市南屯區南屯里南屯路二段826號1樓,0920904
80562621,麻葉餐飲食品有限公司,10019,臺中市北屯區仁和里崇德路三段197號2樓,0921009
80575554,大呼過癮有限公司,10019,臺中市大里區中興路一段2巷25弄5號,0921028
80581583,醉八仙餐飲總部有限公司,10019,臺中市西屯區西墩里環中路二段1263號,0921105
80586237,亞衣宜家貿易有限公司,10019,臺中市西屯區何成里大隆路157號1樓,0921111
80589136,偉鉅經營管理有限公司,10019,臺中市北區中清路一段260號1樓,0921117
80606629,以樂國際企業有限公司,10019,臺中市南區西川里忠明南路506巷7號1樓,0921208
80629828,御群服務有限公司,10019,臺中市和平區博愛里東關路一段99號、103號,0930106
80642168,萬客香企業有限公司,10019,臺中市西屯區何厝街112巷19號,0930129
80702502,羽捷食品有限公司,10019,臺中市烏日區溪埧里溪福路128巷50號1樓,0930216
80711827,阿囉哈宴會設計有限公司,10019,臺中市西屯區西安里逢甲路252號1樓,0930226
80740127,愛倍多國際股份有限公司,10019,臺中市北屯區軍福11路515號1樓,0930329
27268368,雲之瀑有限公司,10019,臺中市南屯區南屯路二段408號10樓之3,0930419
27277269,全明開發股份有限公司,10019,臺中市西屯區何源里16鄰成都路282號,0930428
27288462,廣意實業有限公司,10019,臺中市沙鹿區南勢里南昌路36巷16號1樓,0930511
27297407,源德開發有限公司,10019,臺中市北屯區安順東七街20號1樓,0930521
27386956,張益國際貿易有限公司,10019,臺中市西屯區西平里文華路150巷39號,0930629
27400465,上城建設股份有限公司,10019,臺中市西區民生里自由路一段128號1，2樓地下室,0930716
27351416,法雅企業有限公司,10019,臺中市西區公益路132號11樓,0930811
27429913,合運租賃有限公司,10019,臺中市潭子區潭陽里中山路二段283巷1弄6號1樓,0930823
27450696,日月千禧酒店股份有限公司,10019,臺中市西屯區市政路77號,0930923
27481522,東霖國際實業有限公司,10019,臺中市北區自強街32巷9號1樓,0931102
27488150,嘉慶育樂股份有限公司,10019,臺中市和平區博愛里東關路一段裡冷巷38號,0931111
27504383,台中日光溫泉會館股份有限公司,10019,臺中市北屯區光西巷78、78之1號,0931202
27296625,鈞維實業有限公司,10019,臺中市龍井區新庄里新仁路45巷11號1樓,0931227
27603790,登美科技有限公司,10019,臺中市南屯區干城街１１５巷１弄７號１樓,0940121
27611784,馥味鮮食品有限公司,10019,臺中市大里區仁化路23號1樓,0940201
27617871,昕禾食品股份有限公司,10019,臺中市西屯區福林里福康路48號,0940214
27625464,沅軒實業有限公司,10019,臺中市西區建國北路二段107號1樓,0940225
27567627,七色一味文化股份有限公司,10019,臺中市沙鹿區洛泉里中山路179號2樓,0940308
27648121,玉豐茶莊企業有限公司,10019,臺中市北屯區松明街94號1樓,0940324
27652911,谷德赫斯有限公司,10019,臺中市神岡區溪洲里豐洲路1701號1樓,0940329
27665129,柿外桃園有限公司,10019,臺中市東勢區新豐街116號,0940412
27674675,麗池山水有限公司,10019,臺中市和平區東關路一段分校巷31之1號,0940421
27789584,麗澤渡假村股份有限公司,10019,臺中市北區健行路656號3樓,0940516
27797677,倍而飛生技創研有限公司,10019,臺中市北屯區軍褔十一路515號1樓,0940524
27802806,厚儀實業有限公司,10019,臺中市南屯區惠中里公益路二段１８５號３樓之３,0940530
27803093,鼎極國際海鮮有限公司,10019,臺中市南屯區大業里大墩路676號,0940530
27811349,紳程有限公司,10019,臺中市梧棲區福德里中央路二段292之1號1樓,0940608
27817792,茶湯會股份有限公司,10019,臺中市南屯區新生里龍富路三段565號2樓之1,0940615
27739831,優個兒股份有限公司,10019,臺中市北區臺灣大道二段360號5樓之1,0940621
27827150,元本澤國際餐飲有限公司,10019,臺中市中區建國路125巷4號,0940624
27832180,創世紀展業有限公司,10019,臺中市北區建成里天祥街224號12樓之3,0940630
27839162,五路財神開店總部有限公司,10019,臺中市北屯區中清路二段591號,0940708
27846847,蒙在鍋裡有限公司,10019,臺中市西屯區西屯路三段269、271號1樓,0940720
27851685,三久食品股份有限公司,10019,臺中市霧峰區南勢里峰東路268號,0940725
27858890,爵盛建設股份有限公司,10019,臺中市霧峰區中正路712號,0940802
27866287,皇穎生物科技有限公司,10019,臺中市潭子區栗林里祥和路104巷8號2樓,0940811
27878137,基榮興業股份有限公司,10019,臺中市西屯區玉門路370巷18號,0940825
27888304,久億休閒開發股份有限公司,10019,臺中市神岡區中山路４３８號１樓,0940908
27890152,御三家有限公司,10019,臺中市西區精誠六街25號1樓,0940912
27896938,弘勝興業股份有限公司,10019,臺中市西屯區惠來里府會園道179號12樓之3,0940920
27900216,五億媒體整合有限公司,10019,臺中市中區綠川里綠川西街135號12樓之1,0940923
27904938,魚麗人文有限公司,10019,臺中市西區民權路１７７巷１號１樓,0940929
27914844,奇藝果形象企劃有限公司,10019,臺中市西屯區惠來里市政北一路1號4樓,0941012
28021688,輝睿國際股份有限公司,10019,臺中市西屯區至善里逢甲路301巷22弄3號,0941102
28030482,泰富展業有限公司,10019,臺中市豐原區水源路387號,0941114
28039420,卡瓦國際有限公司,10019,臺中市西區雲龍里公益路89號1樓,0941124
28051269,筌得國際開發有限公司,10019,臺中市北屯區瀋陽路３段２２５號１樓,0941209
28065355,晟拓開發建設有限公司,10019,臺中市東區新庄里台中路71巷12號1樓,0941228
28079246,三元花園餐廳有限公司,10019,臺中市西屯區臺灣大道四段1962號,0950117
28087251,午資開發股份有限公司,10019,臺中市西區綠川西街2之7號3樓,0950127
28088771,時光海設計有限公司,10019,臺中市北區青島路三段180號,0950203
28096569,陸易大道餐飲事業有限公司,10019,臺中市西屯區馬龍潭路119號,0950221
28098150,世界服務有限公司,10019,臺中市西屯區府會園道179號3樓,0950222
28104792,和軒園股份有限公司,10019,臺中市太平區新光里樹德路101之5號,0950303
28106481,新中磊國際股份有限公司,10019,臺中市西屯區市政北一路1號,0950307
28127654,中科水世界股份有限公司,10019,臺中市西屯區福林里玉門路370巷16弄33號,0950322
28136416,星野烘焙事業股份有限公司,10019,臺中市西區公益路132號1樓,0950330
28140164,蘭那有限公司,10019,臺中市西屯區潮洋里朝富路296號至298號,0950404
28145175,東暉資產開發有限公司,10019,臺中市北屯區北平路四段97號1樓,0950410
28148383,台中商務旅館股份有限公司,10019,臺中市西屯區臺灣大道三段593號,0950413
28166348,統領餐飲股份有限公司,10019,臺中市北屯區瀋陽路二段143號,0950504
28328815,味真食品有限公司,10019,臺中市西區公平里公益路168號1樓,0950605
28334909,謹碩國際股份有限公司,10019,臺中市北區賴明里19鄰中清路一段720號2樓,0950613
28337862,逢甲商務旅館股份有限公司,10019,臺中市西屯區西屯路二段275之2號,0950615
28344364,梨子咖啡館有限公司,10019,臺中市西屯區玉門路370巷28號,0950623
28351630,吉米音樂有限公司,10019,臺中市西屯區惠來里惠來路三段138號1至4樓,0950704
28360259,品菓國際企業股份有限公司,10019,臺中市烏日區螺潭里溪南路二段68巷26弄38號,0950717
28369580,尚昱建設有限公司,10019,臺中市南屯區保安三街121號,0950728
28381135,鉅宇揚有限公司,10019,臺中市西區公益里忠明南路237號12樓之2,0950815
28384941,飯友生技股份有限公司,10019,臺中市北屯區熱河路二段226號1樓,0950821
28395692,愛麗絲國際大飯店股份有限公司,10019,臺中市西區公民里柳川西路二段77號,0950906
28400175,硬派國際有限公司,10019,臺中市北區陝西東三街24號,0950913
28405642,八卦山實業股份有限公司,10019,臺中市北區賴村里大德街161巷8之3號1樓,0950922
28501336,久福興業股份有限公司,10019,臺中市梧棲區大智路2段388號,0951018
28442105,林園酒店股份有限公司,10019,臺中市西屯區朝富路99號,0951026
28507520,萬象藝術國際事業有限公司,10019,臺中市南屯區豐樂里文心南五路一段369號3樓,0951026
28522228,金福華有限公司,10019,臺中市沙鹿區公明里中清路六段320巷7號1樓,0951117
28539207,碘石設計有限公司,10019,臺中市大里區國光路二段310號1樓,0951213
28544953,赤鬼食品股份有限公司,10019,臺中市西區民龍里臺灣大道二段170、176、182號,0951220
28549351,東方龍餐飲有限公司,10019,臺中市南屯區公益路二段271之1號,0951227
28557350,陶源茗有限公司,10019,臺中市南區忠明南路758號17樓,0960109
28563233,客都食品有限公司,10019,臺中市太平區太平里永豐路266巷3號1樓,0960118
28565149,華廈訓評職能發展創新產業有限公司,10019,臺中市北屯區平興里北屯路366號15樓,0960122
28583358,珈神生技有限公司,10019,臺中市神岡區溪洲里福民路43號,0960216
28590055,亞孟仕創意賜點靈有限公司,10019,臺中市西屯區工業區一路6號14樓之1,0960309
28623632,大有企業有限公司,10019,臺中市南屯區文山里文山九街82號1樓,0960316
28648090,湧升海洋股份有限公司,10019,臺中市西屯區西安街277巷2之3號,0960419
28678713,後碧湖股份有限公司,10019,臺中市西屯區何南里臺灣大道二段689號5樓,0960522
28732913,豐華欣業股份有限公司,10019,臺中市北屯區旱溪東路3段82號,0960611
28738563,仁享創意有限公司,10019,臺中市大里區仁化里仁美路137巷38號,0960620
28744973,英群科技企業有限公司,10019,臺中市西區五權路22巷12號7樓之2,0960628
28746281,黃金大未來國際實業股份有限公司,10019,臺中市南區忠明南路787號13樓之1,0960629
28757723,大潮有限公司,10019,臺中市南屯區文心南路57號,0960717
28762649,逢飛股份有限公司,10019,臺中市南區福平里建國北路2段30號1樓,0960724
28767790,新雙溪水上股份有限公司,10019,臺中市大甲區奉化里農安路171號,0960801
28778086,新濱食品有限公司,10019,臺中市烏日區九德里中華路229號1樓,0960816
28788612,源楨國際有限公司,10019,臺中市北區雙十路二段127號1、3樓,0960904
28793235,金華園餐廳有限公司,10019,臺中市南屯區大墩十二街271號1樓,0960912
28808666,后豐商務會館股份有限公司,10019,臺中市神岡區豐洲里五權路128號2至7樓,0961011
28813794,阿明師實業股份有限公司,10019,臺中市北屯區水湳里中清路二段118號,0961022
28815435,大詮國際開發有限公司,10019,臺中市西區藍興里自由路一段28之5號1樓,0961024
28872478,萬神殿全球資產管理服務股份有限公司,10019,臺中市南區福順里忠明南路787號13樓之1,0961105
28873835,揚誠國際有限公司,10019,臺中市太平區宜欣里仁和街81號,0961106
28875003,太鼓餐飲股份有限公司,10019,臺中市沙鹿區鹿寮里21鄰光華路316號,0961108
28879107,理嘉投資有限公司,10019,臺中市西屯區惠中路二段38號4樓之2,0961115
28882285,阿蘭貝爾有限公司,10019,臺中市北區金龍街38號,0961121
28887991,天璽藥品股份有限公司,10019,臺中市神岡區民生路28巷16號1樓,0961130
28832552,全球協鴻控股股份有限公司,10019,臺中市北屯區平安里文心路四段696號16樓之1,0961213
28915223,華康有機企業有限公司,10019,臺中市西區美村路一段359號1樓,0970117
28922961,阿里巴巴國際渡假股份有限公司,10019,臺中市西屯區逢明街29巷48號1樓,0970130
28924742,心之芳庭股份有限公司,10019,臺中市北屯區民政里北坑巷21-22、21-23號,0970201
28928368,十方網路科技股份有限公司,10019,臺中市北屯區平安里天津路四段3號1-3樓,0970214
28930152,聖代爾開發有限公司,10019,臺中市南區福順里忠明南路787號18樓之2,0970220
28945535,梅子餐廳有限公司,10019,臺中市沙鹿區鹿寮里中山路473號之2,0970319
28947506,星馬整合行銷有限公司,10019,臺中市北屯區和平里建和路二段122號1樓,0970321
28951515,鼎旺休閒開發事業股份有限公司,10019,臺中市西屯區寧夏路199號地下2樓,0970327
28962153,鈞鴻興業有限公司,10019,臺中市北區中清路一段605號1樓,0970411
28964862,御風行創意國際股份有限公司,10019,臺中市南區工學里工學北路355號9樓之2,0970415
29082769,漁家村庭園海鮮餐廳股份有限公司,10019,臺中市大雅區神林路1段169號1樓,0970425
29095384,品匠屋股份有限公司,10019,臺中市西屯區潮洋里朝富二街20號1樓,0970519
29099804,玖居木業有限公司,10019,臺中市北屯區平福里大連路二段135號1樓及137號1樓,0970523
29107369,法月餐飲股份有限公司,10019,臺中市南屯區惠中里惠文路587號、589號、601巷1號、601巷3號,0970605
29116769,宇伸餐飲服務股份有限公司,10019,臺中市大里區新里里德芳路二段110巷7號,0970623
29121355,喜得有限公司,10019,臺中市南屯區文心南五路一段283號1樓,0970630
29124825,艾美有限公司,10019,臺中市大里區新里里德芳路二段11號1樓,0970704
29127077,飪珍記食品股份有限公司,10019,臺中市太平區中興里永平路二段476巷16號,0970709
24205405,建方有限公司,10019,臺中市中區繼光里雙十路一段19巷6號3樓之1,0970723
24212449,阿木有限公司,10019,臺中市北區賴福里太原路二段16巷13號1樓,0970805
24221600,喜可食品有限公司,10019,臺中市西屯區國安一路65之2號12樓之2,0970821
24224212,北角國際美食烘培有限公司,10019,臺中市北屯區仁美里長生巷23-6號1樓,0970826
24229716,蓮心開發有限公司,10019,臺中市西屯區協和里安和路67之1號,0970904
24236478,瓦吉司股份有限公司,10019,臺中市西區民龍里臺灣大道二段285號24樓,0970919
